Peak Date,Track,With,Streams,Global,US,GB,CA,AU,DE,SE,DK,NO,NL,FR,NZ,IE,IT,BR,PL,ES,MX,PH,CH,BE,FI,PT,TR,SG,AT,AR,IS,MY,HU,CZ,CL,TW,GR,CO,HK,ID,RO,LV,IL,SK,LT,CR,JP,EE,BG,PE,IN,TH,DO,EC,PA,MT,LU,GT,HN,PY,UY,VN,BO,CY,SV,NI
20191025,Every Hour,Sunday Service Choir,"14,786,084",31,12,46,23,47,126,119,50,74,139,166,52,62,195,195,141,--,--,135,108,94,116,87,--,80,86,--,26,120,112,71,--,--,145,--,67,--,117,35,156,86,59,197,187,54,71,--,--,--,139,--,--,76,131,--,--,--,--,--,--,166,--,--
20160405,Real Friends,,"14,763,840",68,42,63,56,69,168,137,83,111,185,--,80,86,--,--,--,--,--,--,120,200,--,149,--,--,--,--,35,--,--,--,--,--,--,--,--,--,--,142,--,178,--,--,--,139,146,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20161025,Forever,"Drake, Lil Wayne, Eminem","13,550,004",--,115,--,125,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160405,Wolves,,"13,233,901",70,43,68,61,86,170,171,88,136,184,--,101,88,--,--,--,--,--,--,136,--,--,158,--,--,--,--,34,--,--,--,--,--,--,--,--,--,--,133,--,123,156,--,--,129,138,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20191026,Hands On,Fred Hammond,"13,082,428",43,18,63,29,58,169,161,55,85,156,108,65,73,--,--,171,--,--,--,131,121,141,101,--,124,113,--,27,181,137,105,--,--,158,--,114,--,101,41,197,117,62,--,--,66,72,--,--,--,--,--,--,73,176,--,--,--,--,--,--,195,--,--
20160404,Feedback,,"11,110,853",71,41,77,65,90,182,199,99,146,194,--,102,92,--,--,--,--,--,--,138,--,--,197,--,--,--,--,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,182,193,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20191026,Jesus Is Lord,,"10,851,351",56,24,73,47,73,--,101,80,100,120,135,78,96,--,--,102,--,--,--,178,172,161,136,--,115,153,--,36,176,80,147,--,--,109,--,127,--,196,57,84,176,87,--,--,98,130,--,--,--,--,--,--,97,--,--,--,--,--,--,--,--,--,--
20181128,KANGA,6ix9ine,"10,216,554",132,79,151,72,160,143,61,188,193,72,71,58,167,95,--,180,--,--,--,123,57,130,169,--,--,184,--,86,--,71,67,--,--,123,--,--,--,90,162,166,95,--,159,--,--,111,--,--,--,95,--,--,--,122,--,--,--,--,--,--,170,--,--
20181207,One Minute,"XXXTENTACION, Travis Barker","9,427,341",59,23,122,57,90,96,200,154,118,58,183,83,92,122,--,165,140,--,--,179,110,108,116,--,--,66,--,65,--,95,163,--,82,61,--,--,--,12,44,149,82,61,149,--,51,20,--,--,--,--,--,--,104,115,--,--,--,--,--,--,66,--,--
20160401,Highlights,,"8,269,686",90,51,85,84,110,--,189,137,140,--,136,132,111,--,--,--,--,--,--,186,--,--,--,--,--,--,--,52,--,--,--,--,169,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20161021,Tiimmy Turner - Remix,Desiigner,"7,220,046",--,119,--,194,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,182,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160404,No More Parties In LA,,"6,801,483",122,71,102,100,123,--,--,171,--,139,--,149,122,--,--,--,--,--,--,--,--,--,--,--,--,--,--,73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20180503,American Boy,Estelle,"6,346,559",--,--,106,--,170,--,--,--,--,--,166,--,109,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,167,--,--,--,126,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20180525,What Would Meek Do?,Pusha T,"6,336,744",170,61,194,76,159,--,--,--,--,--,--,175,148,--,--,--,--,--,--,--,--,--,--,--,--,--,--,190,--,--,--,--,--,190,--,--,--,192,--,--,--,--,--,--,--,116,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20180429,Ye vs. the People (starring TI as the People),,"6,195,759",171,79,104,64,97,--,152,160,174,139,--,92,98,--,--,--,--,--,--,--,179,151,--,--,--,--,--,83,--,122,188,--,--,149,--,--,--,143,193,80,--,178,--,--,195,111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20170119,Castro,"Yo Gotti, Big Sean, Quavo, 2 Chainz","6,036,958",--,153,--,125,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160401,I Love Kanye,,"5,994,733",102,58,101,91,105,--,--,128,161,--,--,129,113,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160722,P**** Print,Gucci Mane,"5,920,666",125,55,--,105,--,--,--,--,--,--,--,--,--,--,--,109,--,--,--,199,178,--,--,--,--,--,--,118,--,--,94,--,--,--,--,--,--,--,199,--,159,--,--,--,--,104,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160401,Freestyle 4,,"5,799,448",111,65,105,99,126,--,--,167,--,--,--,161,134,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160404,Facts (Charlie Heat Version),,"5,618,054",133,77,121,97,145,--,--,154,--,--,--,172,176,--,--,--,--,--,--,--,--,--,--,--,--,--,--,67,--,--,--,--,127,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20150225,All Your Fault,Big Sean,"5,105,088",102,30,187,97,--,--,--,160,--,--,--,--,--,--,--,120,--,--,--,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160401,Frank's Track,,"4,785,154",131,76,110,107,138,--,--,147,--,--,--,167,147,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160404,30 Hours,,"4,614,304",161,95,131,124,181,--,--,167,--,--,--,147,179,--,--,--,--,--,--,--,--,--,--,--,--,--,--,79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20180616,Cops Shot The Kid,Nas,"4,367,862",158,75,173,91,101,--,--,167,--,157,--,109,194,--,--,--,--,--,--,162,157,--,131,--,--,--,--,--,--,190,--,--,--,101,--,--,--,127,--,101,--,--,--,--,--,102,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160401,Low Lights,,"4,275,237",126,73,108,109,135,--,--,175,192,--,--,177,130,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20150221,Clique,"JAY Z, Big Sean","3,485,662",--,181,--,212,191,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20150827,POWER,,"3,147,872",--,155,177,181,--,173,--,--,--,--,257,--,168,--,--,229,--,--,--,144,--,--,--,--,--,--,--,132,--,--,--,--,--,--,--,--,--,--,148,--,--,--,--,--,--,167,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20170324,New Slaves,,"2,559,909",--,7,37,--,27,--,--,--,--,--,--,47,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,--,53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20150527,Jukebox Joints,"A$AP Rocky, Joe Fox","2,443,538",177,72,196,132,181,210,--,209,230,--,212,152,--,--,--,171,--,--,--,183,317,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20150209,Bound 2,,"2,254,226",--,23,--,139,45,--,--,--,--,--,--,48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20180616,everything,"Nas, The-Dream","2,047,731",122,161,110,84,150,--,--,--,--,--,--,171,146,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20141208,Can't Stop,Theophilus London,"1,966,047",183,174,159,78,145,184,--,--,--,183,187,140,195,188,--,182,--,--,78,188,--,--,--,143,88,--,--,172,95,112,106,--,116,122,--,83,--,--,79,--,88,76,--,--,104,--,--,--,--,--,--,--,65,--,--,--,--,--,--,--,--,--,--
20170106,Feel Me,Tyga,"1,836,230",135,147,78,138,193,--,185,--,161,--,--,--,95,--,--,104,--,--,--,101,142,156,130,--,--,133,--,--,--,91,109,--,--,--,--,--,--,--,--,--,--,--,--,190,--,172,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20160401,Siiiiiiiiilver Surffffeeeeer Intermission,,"1,800,285",186,116,186,160,175,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20130623,Blood On The Leaves,,"1,752,045",--,14,50,--,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
